cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,2388.06,9046.19,47.47,521.66,2388.06,8138.62,8.4195,392,39.06,23.419
2,-0.0007,-0.0004,100.0,641.8629,1589.8735,1400.7265,554.3233,2387.958,9045.9451,47.4782,521.7212,2387.9784,8138.2118,8.4195,392,39.06,23.419
3,-0.0007,-0.0004,100.0,641.9057,1590.0469,1400.8531,554.2865,2387.8559,9045.7002,47.4863,521.7824,2387.8967,8137.8037,8.4195,392,39.06,23.419
4,-0.0007,-0.0004,100.0,641.9486,1590.2204,1400.9796,554.2498,2387.7539,9045.4553,47.4945,521.8437,2387.8151,8137.3955,8.4195,392,39.06,23.419
5,-0.0007,-0.0004,100.0,641.9914,1590.3939,1401.1061,554.2131,2387.6518,9045.2104,47.5027,521.9049,2387.7335,8136.9873,8.4195,392,39.06,23.419
6,-0.0007,-0.0004,100.0,642.0343,1590.5673,1401.2327,554.1763,2387.5498,9044.9655,47.5108,521.9661,2387.6518,8136.5792,8.4195,392,39.06,23.419
7,-0.0007,-0.0004,100.0,642.0771,1590.7408,1401.3592,554.1396,2387.4478,9044.7206,47.519,522.0273,2387.5702,8136.171,8.4195,392,39.06,23.419
8,-0.0007,-0.0004,100.0,642.12,1590.9143,1401.4857,554.1029,2387.3457,9044.4757,47.5271,522.0886,2387.4886,8135.7629,8.4195,392,39.06,23.419
9,-0.0007,-0.0004,100.0,642.1629,1591.0878,1401.6122,554.0661,2387.2437,9044.2308,47.5353,522.1498,2387.4069,8135.3547,8.4195,392,39.06,23.419
10,-0.0007,-0.0004,100.0,642.2057,1591.2612,1401.7388,554.0294,2387.1416,9043.9859,47.5435,522.211,2387.3253,8134.9465,8.4195,392,39.06,23.419
11,-0.0007,-0.0004,100.0,642.2486,1591.4347,1401.8653,553.9927,2387.0396,9043.741,47.5516,522.2722,2387.2437,8134.5384,8.4195,392,39.06,23.419
12,-0.0007,-0.0004,100.0,642.2914,1591.6082,1401.9918,553.9559,2386.9376,9043.4961,47.5598,522.3335,2387.162,8134.1302,8.4195,392,39.06,23.419
13,-0.0007,-0.0004,100.0,642.3343,1591.7816,1402.1184,553.9192,2386.8355,9043.2512,47.568,522.3947,2387.0804,8133.722,8.4195,392,39.06,23.419
14,-0.0007,-0.0004,100.0,642.3771,1591.9551,1402.2449,553.8824,2386.7335,9043.0063,47.5761,522.4559,2386.9988,8133.3139,8.4195,392,39.06,23.419
15,-0.0007,-0.0004,100.0,642.42,1592.1286,1402.3714,553.8457,2386.6314,9042.7614,47.5843,522.5171,2386.9171,8132.9057,8.4195,392,39.06,23.419
16,-0.0007,-0.0004,100.0,642.4629,1592.302,1402.498,553.809,2386.5294,9042.5165,47.5924,522.5784,2386.8355,8132.4976,8.4195,392,39.06,23.419
17,-0.0007,-0.0004,100.0,642.5057,1592.4755,1402.6245,553.7722,2386.4273,9042.2716,47.6006,522.6396,2386.7539,8132.0894,8.4195,392,39.06,23.419
18,-0.0007,-0.0004,100.0,642.5486,1592.649,1402.751,553.7355,2386.3253,9042.0267,47.6088,522.7008,2386.6722,8131.6812,8.4195,392,39.06,23.419
19,-0.0007,-0.0004,100.0,642.5914,1592.8224,1402.8776,553.6988,2386.2233,9041.7818,47.6169,522.762,2386.5906,8131.2731,8.4195,392,39.06,23.419
20,-0.0007,-0.0004,100.0,642.6343,1592.9959,1403.0041,553.662,2386.1212,9041.5369,47.6251,522.8233,2386.509,8130.8649,8.4195,392,39.06,23.419
21,-0.0007,-0.0004,100.0,642.6771,1593.1694,1403.1306,553.6253,2386.0192,9041.292,47.6333,522.8845,2386.4273,8130.4567,8.4195,392,39.06,23.419
22,-0.0007,-0.0004,100.0,642.72,1593.3429,1403.2571,553.5886,2385.9171,9041.0471,47.6414,522.9457,2386.3457,8130.0486,8.4195,392,39.06,23.419
23,-0.0007,-0.0004,100.0,642.7629,1593.5163,1403.3837,553.5518,2385.8151,9040.8022,47.6496,523.0069,2386.2641,8129.6404,8.4195,392,39.06,23.419
24,-0.0007,-0.0004,100.0,642.8057,1593.6898,1403.5102,553.5151,2385.7131,9040.5573,47.6578,523.0682,2386.1824,8129.2322,8.4195,392,39.06,23.419
25,-0.0007,-0.0004,100.0,642.8486,1593.8633,1403.6367,553.4784,2385.611,9040.3124,47.6659,523.1294,2386.1008,8128.8241,8.4195,392,39.06,23.419
26,-0.0007,-0.0004,100.0,642.8914,1594.0367,1403.7633,553.4416,2385.509,9040.0676,47.6741,523.1906,2386.0192,8128.4159,8.4195,392,39.06,23.419
27,-0.0007,-0.0004,100.0,642.9343,1594.2102,1403.8898,553.4049,2385.4069,9039.8227,47.6822,523.2518,2385.9376,8128.0078,8.4195,392,39.06,23.419
28,-0.0007,-0.0004,100.0,642.9771,1594.3837,1404.0163,553.3682,2385.3049,9039.5778,47.6904,523.3131,2385.8559,8127.5996,8.4195,392,39.06,23.419
29,-0.0007,-0.0004,100.0,643.02,1594.5571,1404.1429,553.3314,2385.2029,9039.3329,47.6986,523.3743,2385.7743,8127.1914,8.4195,392,39.06,23.419
30,-0.0007,-0.0004,100.0,643.0629,1594.7306,1404.2694,553.2947,2385.1008,9039.088,47.7067,523.4355,2385.6927,8126.7833,8.4195,392,39.06,23.419
31,-0.0007,-0.0004,100.0,643.1057,1594.9041,1404.3959,553.258,2384.9988,9038.8431,47.7149,523.4967,2385.611,8126.3751,8.4195,392,39.06,23.419
32,-0.0007,-0.0004,100.0,643.1486,1595.0776,1404.5224,553.2212,2384.8967,9038.5982,47.7231,523.558,2385.5294,8125.9669,8.4195,392,39.06,23.419
33,-0.0007,-0.0004,100.0,643.1914,1595.251,1404.649,553.1845,2384.7947,9038.3533,47.7312,523.6192,2385.4478,8125.5588,8.4195,392,39.06,23.419
34,-0.0007,-0.0004,100.0,643.2343,1595.4245,1404.7755,553.1478,2384.6927,9038.1084,47.7394,523.6804,2385.3661,8125.1506,8.4195,392,39.06,23.419
35,-0.0007,-0.0004,100.0,643.2771,1595.598,1404.902,553.111,2384.5906,9037.8635,47.7476,523.7416,2385.2845,8124.7424,8.4195,392,39.06,23.419
36,-0.0007,-0.0004,100.0,643.32,1595.7714,1405.0286,553.0743,2384.4886,9037.6186,47.7557,523.8029,2385.2029,8124.3343,8.4195,392,39.06,23.419
37,-0.0007,-0.0004,100.0,643.3629,1595.9449,1405.1551,553.0376,2384.3865,9037.3737,47.7639,523.8641,2385.1212,8123.9261,8.4195,392,39.06,23.419
38,-0.0007,-0.0004,100.0,643.4057,1596.1184,1405.2816,553.0008,2384.2845,9037.1288,47.772,523.9253,2385.0396,8123.518,8.4195,392,39.06,23.419
