cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.0003,-0.0005,100.0,642.13,1590.14,1406.64,553.86,2388.07,9054.04,47.39,521.98,2388.10,8140.51,8.3874,393,38.87,23.2940
2,0.0020,-0.0005,100.0,642.48,1589.09,1403.85,553.51,2388.04,9052.95,47.51,521.34,2388.09,8136.05,8.4300,391,39.00,23.3081
3,0.0021,0.0003,100.0,642.61,1594.60,1407.97,553.23,2388.07,9051.91,47.26,521.52,2388.07,8134.11,8.4236,392,39.03,23.3146
4,0.0005,-0.0002,100.0,641.95,1585.52,1398.48,553.58,2388.04,9054.79,47.39,521.59,2388.02,8131.37,8.4313,393,38.78,23.4063
5,-0.0000,0.0003,100.0,641.77,1588.14,1406.58,554.73,2388.06,9053.39,47.31,521.54,2388.01,8137.72,8.3963,394,38.89,23.3504
6,-0.0026,0.0003,100.0,642.42,1592.44,1401.11,553.87,2388.11,9054.92,47.43,521.83,2388.12,8128.00,8.3986,391,38.86,23.2452
7,0.0015,-0.0002,100.0,642.16,1582.94,1398.68,553.90,2388.09,9061.70,47.39,521.83,2388.03,8134.56,8.3961,393,38.88,23.3912
8,0.0020,-0.0005,100.0,642.46,1581.02,1402.40,553.01,2388.03,9050.40,47.56,521.85,2388.10,8138.36,8.4179,391,38.96,23.3548
9,0.0027,0.0003,100.0,642.49,1582.90,1404.10,554.46,2388.03,9057.08,47.23,521.99,2388.08,8133.70,8.4054,391,38.89,23.3366
10,-0.0007,0.0000,100.0,642.32,1588.31,1404.28,554.14,2388.07,9050.17,47.29,521.65,2388.04,8136.14,8.3795,392,38.81,23.3861
11,0.0004,-0.0004,100.0,642.57,1588.52,1403.14,553.29,2388.08,9059.24,47.39,521.33,2388.13,8131.62,8.4335,395,38.91,23.3225
12,0.0019,-0.0003,100.0,642.66,1580.85,1402.36,554.24,2388.11,9060.00,47.32,521.78,2388.11,8137.26,8.3972,392,38.96,23.3962
13,-0.0011,-0.0002,100.0,642.57,1592.02,1399.25,553.27,2388.09,9057.81,47.55,521.81,2388.07,8135.68,8.4068,391,38.89,23.3180
14,-0.0013,0.0003,100.0,641.95,1578.44,1407.69,553.71,2388.08,9055.55,47.55,521.71,2388.01,8133.60,8.3998,394,38.92,23.3697
15,0.0011,-0.0003,100.0,642.24,1584.16,1401.12,553.27,2388.07,9045.79,47.41,522.16,2388.09,8133.50,8.4498,392,38.81,23.1760
16,-0.0002,-0.0000,100.0,642.31,1587.60,1411.69,553.87,2388.04,9053.66,47.30,521.95,2388.10,8131.29,8.4283,393,38.84,23.4397
17,0.0021,-0.0001,100.0,642.71,1588.09,1404.66,554.16,2388.08,9059.92,47.25,522.25,2388.12,8141.92,8.4376,392,38.83,23.3102
18,0.0010,0.0004,100.0,643.05,1584.06,1404.86,553.40,2388.11,9049.60,47.58,521.77,2388.07,8134.43,8.4416,392,38.99,23.2515
19,0.0046,-0.0004,100.0,642.21,1588.69,1411.09,554.10,2388.04,9049.01,47.41,521.72,2388.09,8137.31,8.4385,392,38.93,23.3940
20,0.0026,0.0003,100.0,642.84,1583.24,1404.84,553.89,2388.11,9060.89,47.45,521.67,2388.09,8133.45,8.4428,390,38.95,23.2954
21,-0.0028,0.0003,100.0,642.91,1586.77,1402.93,553.85,2388.09,9057.70,47.34,521.44,2388.08,8134.19,8.4047,391,38.75,23.2728
22,0.0018,0.0001,100.0,642.07,1590.14,1401.19,553.93,2388.09,9053.91,47.43,521.28,2388.06,8134.35,8.4470,393,38.89,23.3656
